#{"t_start": 1776786092.6817632, "env_id": "None"}
r,l,t
107.46089,1000,257.556509
108.61255,1000,257.586173
-64.01691,574,258.311374
-73.443115,530,259.231377
-64.559746,354,260.020635
40.29087,1000,261.09713
85.98684,1000,261.35512
64.01851,1000,261.59832
131.83914,1000,261.884329
169.06075,578,262.114074
-86.06425,362,263.282184
-12.612152,422,263.410096
-28.407722,320,263.603119
167.00923,629,263.701707
77.43574,1000,263.759805
43.563404,579,264.550808
51.06238,1000,264.985946
-8.14473,306,265.098529
-100.56588,373,265.149907
-106.28686,372,265.59162
-50.40825,333,266.939732
-127.55504,479,267.430668
53.02467,1000,267.754805
-51.873596,419,267.793154
-123.757385,386,268.150099
140.29225,1000,269.243447
70.83396,1000,269.668507
-20.45037,357,269.784966
-67.832375,318,270.165402
-27.55867,404,270.337314
149.79547,561,270.558089
143.29814,986,271.186338
-60.962654,275,271.308675
-45.35636,327,271.468634
105.108284,510,274.087669
-85.76444,418,274.268864
84.86749,1000,274.419318
-102.600395,510,275.062652
173.24046,524,275.335176
97.15729,1000,275.861115
220.10666,910,276.315879
38.988403,1000,276.653027
-110.7794,430,277.945797
174.45837,645,278.380909
-66.802025,547,279.521138
144.92087,868,279.874021
-77.05968,296,280.562661
114.826324,644,280.872153
94.089714,1000,281.106861
28.66094,1000,281.694219
189.2815,548,281.827452
163.57108,483,282.683684
-91.54311,344,282.948936
40.847977,1000,283.409914
208.64926,683,284.224416
-70.43417,247,284.490539
-108.34688,491,284.830879
-50.938156,252,285.769084
63.224983,1000,286.966753
-114.579,426,287.437783
25.162989,1000,287.57641
201.3115,650,287.769815
49.55709,1000,288.137686
103.37571,1000,289.095899
-90.030914,529,289.229455
-94.08999,682,289.240236
-57.924515,490,289.79586
-82.06642,295,290.715688
167.70825,622,290.951459
-115.51426,657,291.343106
233.06018,603,291.415928
80.77644,849,292.17822
-141.87292,578,293.259271
139.65062,580,294.801658
148.88481,629,294.893305
194.98209,934,294.966469
78.34613,1000,295.173107
197.92625,592,295.245788
-135.6377,633,295.476204
175.39821,548,295.642993
-50.290104,374,297.15795
-133.40317,448,297.233007
-92.26948,449,297.548429
204.1489,529,297.656738
-100.59605,540,298.553176
-104.79757,573,299.086183
79.43288,737,299.172916
66.842125,1000,299.321271
130.89088,571,300.733983
145.55551,559,301.093056
196.82098,636,301.769708
204.53284,623,303.873478
48.597393,1000,304.322435
84.32941,793,304.346401
-86.694016,481,304.624907
139.0188,819,305.09386
45.949493,1000,306.429327
125.6485,821,307.609719
-95.26261,276,309.009639
145.20737,580,309.066564
-55.595787,476,309.066603
196.10226,547,309.112851
199.94183,721,309.653878
212.82117,679,309.698059
99.18943,1000,309.801874
-64.31444,270,310.307511
-106.24169,429,310.337236
-129.60556,456,312.06801
-90.17859,488,312.118448
160.04187,579,312.12697
141.57164,594,312.146486
-73.23021,313,312.152299
-124.187386,731,313.455266
-56.807343,263,313.59515
180.23845,642,314.070978
65.453354,1000,314.542553
192.521,441,314.68035
157.62262,533,315.163667
-91.91997,435,316.017871
-74.403404,486,316.197149
151.56345,721,316.197197
-89.87984,419,316.31475
169.47742,871,316.856526
-101.14582,473,317.09032
-64.691864,280,317.710556
199.46027,707,318.351778
-88.48136,614,318.538321
-103.4002,519,319.040105
135.35103,658,319.710023
96.005104,665,319.934379
177.4682,621,320.61206
-63.23421,398,320.914298
-27.873917,484,321.186696
75.991585,694,321.793209
-35.170876,569,323.029851
105.0763,1000,323.029891
159.9812,714,323.25496
125.17791,659,323.813688
-156.20999,603,324.528337
83.80315,722,325.020338
119.24687,615,325.068086
155.56946,632,327.468653
-70.76257,413,327.604914
-148.72932,639,327.837588
135.63779,697,328.006233
206.81024,600,328.198031
-59.95386,468,328.429649
33.221134,1000,328.63093
-61.234863,270,329.083093
-80.56842,448,329.912645
-102.55117,388,329.943727
-87.357285,294,330.699411
197.81744,576,331.302413
116.884964,628,331.302456
16.017097,1000,331.307261
116.58042,665,332.135642
-218.53369,520,333.00238
132.24097,537,333.16172
224.01608,475,333.553572
-68.10051,395,333.615217
-22.994316,406,333.668737
65.661896,1000,333.918897
168.83669,478,333.971246
208.48895,468,334.551568
-76.066986,550,335.701612
-113.11075,555,335.872488
217.75322,494,335.959038
-121.79428,446,336.1234
207.62286,553,336.573573
133.03845,652,336.660363
147.4648,531,337.192985
-34.527687,440,338.128136
58.753174,1000,338.64661
101.11954,585,338.811326
-112.65367,476,339.330328
143.58784,652,339.415274
-46.166313,359,341.115595
127.28182,765,341.21807
101.02656,686,341.711971
199.91374,525,341.741798
-49.296917,453,341.91851
48.122456,1000,342.114424
