#{"t_start": 1776786956.2816849, "env_id": "None"}
r,l,t
-54.466957,76,34.004592
-105.0717,102,34.011112
-45.336067,151,34.020902
-73.95125,90,34.025943
-115.86759,100,34.114983
-105.20048,105,34.121211
-26.02568,85,34.149344
-67.646286,132,34.153125
-108.46399,100,34.181507
-98.890015,98,34.18863
-55.597443,147,34.190696
-50.737793,100,34.197599
-62.591167,77,34.25659
-100.29581,85,34.266572
-53.43511,70,34.316612
-64.06025,93,34.349996
-78.58502,125,34.37488
-71.41336,109,34.384595
-42.22265,152,34.42623
-132.448,91,34.428702
-66.9042,93,34.439714
-166.87106,139,34.451396
-102.5707,102,34.497123
-64.087326,98,34.519686
-87.707596,78,34.55213
-65.32481,102,34.557352
-75.51269,136,34.610615
-62.8363,103,34.610657
-75.8338,128,34.644553
-57.526474,85,34.647103
-68.14334,141,34.700482
-118.20746,119,34.738778
-66.17775,68,34.742845
-92.222336,102,34.818494
8.308044,140,34.833452
-30.587456,151,34.862561
-51.465725,106,34.864982
-102.98837,86,34.879425
-68.54672,114,34.881299
-60.967937,69,34.88801
-53.20527,95,34.920556
-69.94525,81,34.953111
-64.07025,93,34.984107
-33.084816,85,34.995012
-52.20887,78,34.99838
-68.64919,90,35.017073
-60.064827,109,35.031384
-60.524956,88,35.06205
-103.83998,123,35.081496
-38.397633,94,35.159469
-56.50769,91,35.19308
-99.09635,121,35.193125
11.409042,83,35.21075
-63.820305,127,35.243676
-38.335575,143,35.250354
-71.836914,168,35.250396
-30.244957,82,35.339535
-65.48993,160,35.375695
-52.577835,73,35.378636
-109.05719,126,35.397161
-62.297302,86,35.409715
-68.8535,122,35.438073
-16.54663,139,35.451842
-80.94421,116,35.462518
-33.653023,86,35.527232
-48.29574,115,35.586836
-101.086426,109,35.593882
-78.44051,149,35.618432
-62.760174,101,35.64538
-49.794315,114,35.657951
-9.432877,123,35.662075
-163.9957,152,35.683002
-57.041443,95,35.702927
-56.381638,82,38.993707
-75.92243,68,39.041759
-61.17292,85,39.057488
-54.248714,132,39.086762
-54.215965,101,39.102027
-45.677498,106,39.157812
-37.11879,95,39.173635
-71.74468,79,39.187943
-42.662304,174,39.193899
-6.934532,157,39.226881
-31.364746,93,39.255263
-123.28888,111,39.260892
-16.372986,116,39.310303
-35.09494,92,39.322354
-75.59899,84,39.336169
-18.613472,130,39.421093
-83.66087,118,39.435683
-18.14148,169,39.477983
-77.28417,124,39.483961
-17.778755,101,39.493688
-33.152252,155,39.529711
-55.196434,114,39.541351
-70.24988,159,39.603089
-26.669678,108,39.627825
-52.950443,97,39.663916
-62.114132,124,39.70393
-12.959328,155,39.703968
-71.9265,107,39.73005
-81.174164,145,39.732074
-26.349655,142,39.775948
-64.02872,112,39.820642
-24.405602,84,39.844033
-33.160286,120,39.871533
-11.281197,90,39.890667
-25.996437,167,39.902497
-17.105629,124,39.954692
-57.39787,162,39.989419
-31.136795,96,40.047429
-53.14234,160,40.07463
-36.91652,134,40.074667
-130.91624,115,40.104055
-67.71516,125,40.135854
-19.586243,122,40.187699
-66.00911,81,40.212004
-9.697853,193,40.216536
-37.15105,141,40.261409
-10.263084,102,40.270998
-56.804848,119,40.302093
-89.35048,119,40.327748
-74.81781,147,40.40559
-20.082283,142,40.448776
-31.068634,140,40.471699
-25.487679,123,40.487126
-110.60593,124,40.497124
-77.59526,125,40.526285
-18.192734,177,40.529796
-37.975327,135,40.571762
-59.493023,145,40.675617
-19.515556,116,40.681892
-9.595612,89,40.695522
-29.742172,93,40.699237
-68.78041,140,40.704213
-43.55981,131,40.722045
-35.74894,95,40.745754
-32.98549,139,40.745784
-75.05043,133,44.382886
-158.60812,150,44.39638
3.1893845,147,44.424727
-60.440567,136,44.424766
-42.483334,154,44.431847
-9.12413,178,44.456564
4.583412,155,44.483722
-48.36457,168,44.506658
26.175285,104,44.64752
-27.120323,129,44.670588
-14.526947,135,44.674615
-16.05838,158,44.681862
-17.472763,164,44.702687
-27.356117,117,44.725883
-30.518654,153,44.77113
-24.738487,187,44.773922
-21.146713,116,44.873719
-23.149544,110,44.896498
-26.040916,117,44.901988
-51.31404,119,44.932901
-40.46299,134,44.987999
-52.922577,175,45.00976
-12.680344,154,45.07179
-28.31604,170,45.103784
4.4456024,125,45.144653
-4.3904953,135,45.157734
29.094437,119,45.168471
-76.850716,89,45.183285
-40.181984,171,45.202984
-48.252003,127,45.228822
-78.42678,82,45.305879
-19.286156,117,45.311883
-22.34616,170,45.381312
-3.8083649,150,45.417457
-38.233482,151,45.433272
-3.6846771,114,45.438919
-15.442093,149,45.455729
22.597282,138,45.4582
-29.898148,121,45.547166
-107.78565,148,45.596661
-36.379257,134,45.650604
-36.136536,113,45.659368
-55.580643,143,45.728683
-40.755905,154,45.728729
-38.497276,135,45.730977
-3.8281403,98,45.751486
-20.081657,156,45.768184
17.926697,119,45.870716
-54.482662,145,45.872919
-29.842377,85,45.876711
-21.001564,136,45.908253
-58.837276,105,45.930817
-24.936485,128,45.951824
-22.054749,148,46.026439
-23.120125,171,46.030062
-19.513863,118,46.091787
-81.37233,132,46.159752
-21.974434,155,46.164152
-71.85182,162,46.180096
-18.426949,92,46.213387
-61.22822,185,49.072387
-40.14286,141,49.087899
-15.290115,184,49.09465
-85.3987,134,49.136065
-45.555126,125,49.176136
10.743637,130,49.187958
10.021126,123,49.222314
-10.607941,176,49.286779
-39.826836,122,49.292175
-190.37201,192,49.459665
-11.778908,118,49.465093
15.209396,153,49.484099
-28.779716,183,49.499486
1.8740005,253,49.598969
2.3787918,157,49.62561
