#{"t_start": 1777134227.1996357, "env_id": "None"}
r,l,t
-20.0,275,224.923643
-20.0,388,225.37749
-20.0,387,225.553035
-20.0,380,225.785589
-21.0,351,226.071838
-21.0,319,226.273495
-19.0,292,226.368205
-20.0,371,234.523328
-19.0,476,235.633819
-17.0,459,236.08283
-16.0,434,236.098845
-19.0,419,236.275867
-20.0,346,236.407299
-19.0,412,236.603909
-19.0,385,236.639679
-20.0,446,238.392456
-20.0,398,239.091505
-19.0,362,239.232157
-20.0,340,239.540131
-19.0,418,239.7357
-20.0,404,239.792943
-17.0,418,240.041367
-16.0,503,240.98773
-18.0,369,241.600472
-17.0,359,242.212957
-21.0,397,242.680773
-20.0,324,242.839739
-19.0,397,243.182058
-20.0,470,243.623348
-19.0,454,243.736229
-21.0,339,243.939693
-20.0,328,245.066768
-20.0,350,245.724675
-21.0,344,245.835445
-20.0,359,246.738073
-18.0,593,246.75234
-20.0,430,246.925353
-17.0,458,247.902337
-18.0,526,248.294091
-19.0,393,248.481783
-18.0,348,248.752271
-18.0,384,249.17029
-21.0,344,249.729712
-17.0,356,250.010751
-20.0,438,250.554389
-19.0,407,260.432326
-21.0,405,260.988218
-16.0,375,261.002322
-17.0,501,261.641933
-19.0,359,262.116248
-19.0,387,262.900975
-19.0,558,263.00264
-20.0,500,263.068481
-19.0,369,263.64429
-21.0,364,264.170634
-21.0,290,264.170678
-19.0,395,264.434505
-19.0,407,265.656521
-20.0,410,266.557071
-21.0,370,266.84969
-16.0,517,267.396579
-19.0,426,267.85319
-21.0,403,267.920679
-18.0,637,268.591139
-15.0,572,269.123415
-21.0,453,270.482089
-17.0,564,270.537778
-20.0,406,271.364403
-19.0,400,271.3808
-19.0,530,271.443828
-19.0,524,271.940592
-20.0,456,272.545753
-20.0,397,272.573267
-18.0,476,274.657178
-17.0,504,274.855379
-21.0,447,275.328166
-19.0,390,275.328214
-21.0,476,275.517198
-17.0,493,275.678511
-20.0,430,276.310189
-19.0,456,276.524893
-20.0,458,285.655457
-15.0,428,286.245805
-16.0,514,286.356939
